,Name,Year,Salaries,Rank
1,Shaquille O'Neal,2000,17142000,1
2,Kevin Garnett,2000,16806000,2
3,Alonzo Mourning,2000,15004000,3
4,Juwan Howard,2000,15000000,4
5,Scottie Pippen,2000,14795000,5
6,Karl Malone,2000,14000000,6
7,Larry Johnson,2000,11910000,7
8,Gary Payton,2000,11020000,8
9,Rasheed Wallace,2000,10800000,9
10,Shawn Kemp,2000,10780000,10
11,Damon Stoudamire,2000,10125000,11
12,Antonio McDyess,2000,9900000,12
13,Ray Allen,2000,9000000,14
14,Antoine Walker,2000,9000000,14
15,Stephon Marbury,2000,9000000,14
16,Vlade Divac,2000,8837000,16
17,Bryant Reeves,2000,8666000,17
18,Tom Gugliotta,2000,8558000,18
19,Nick Van Exel,2000,8354000,19
20,Elden Campbell,2000,7975000,20
21,Terrell Brandon,2000,7400000,21
22,Derrick Coleman,2000,7370000,22
23,Glenn Robinson,2000,7250000,23
24,Steve Smith,2000,7200000,24
25,Kerry Kittles,2000,7166000,25
26,Chris Dudley,2000,7100000,26
27,Theo Ratliff,2000,7031000,27
28,Matt Geiger,2000,6889000,28
29,Jason Kidd,2000,6858000,29
30,Kenny Anderson,2000,6680000,30
31,Tyrone Hill,2000,6422000,31
32,Clifford Robinson,2000,6125000,32
33,Jamal Mashburn,2000,5600000,33
34,Steve Nash,2000,5500000,34
35,Alan Henderson,2000,5318000,35
36,Donyell Marshall,2000,5250000,36
37,Marcus Camby,2000,5250000,36
38,Greg Ostertag,2000,5200000,38
39,Luc Longley,2000,5175000,39
40,P.J. Brown,2000,5124000,40
41,Jermaine O'Neal,2000,5075000,41
42,Erick Dampier,2000,4988000,42
43,Wesley Person,2000,4900000,43
44,Isaac Austin,2000,4819000,44
45,Loy Vaught,2000,4810000,45
46,Derrick McKey,2000,4800000,47
47,Robert Horry,2000,4800000,47
48,Jim McIlvaine,2000,4800000,47
49,Jerry Stackhouse,2000,4781000,49
50,Charlie Ward,2000,4540000,50
51,Dale Davis,2000,4490000,51
52,Lorenzen Wright,2000,4400000,52
53,Mookie Blaylock,2000,4200000,53
54,Chris Mills,2000,4200000,53
55,Chris Childs,2000,4160000,55
56,Darrell Armstrong,2000,4125000,56
57,Bryon Russell,2000,4000000,57
58,Brent Barry,2000,3960000,58
59,Jason Caffey,2000,3937000,59
60,Vitaly Potapenko,2000,3810000,60
61,Bob Sura,2000,3760000,61
62,Walt Williams,2000,3750000,62
63,Scott Williams,2000,3750000,62
64,Sam Cassell,2000,3500000,64
65,Michael Olowokandi,2000,3456000,65
66,Elton Brand,2000,3375000,66
67,Eric Williams,2000,3336000,67
68,Travis Best,2000,3250000,68
69,Michael Stewart,2000,3200000,69
70,Derek Strong,2000,3159000,70
71,Mike Bibby,2000,3092000,71
72,Rick Fox,2000,3033000,72
73,Steve Francis,2000,3020000,73
74,Derek Fisher,2000,3000000,74
75,Eric Snow,2000,3000000,74
76,Ervin Johnson,2000,2951000,76
77,Brent Price,2000,2944000,77
78,Travis Knight,2000,2800000,78
79,Raef LaFrentz,2000,2777000,79
80,Tracy Murray,2000,2720000,80
81,Tyrone Nesby,2000,2716000,81
82,Baron Davis,2000,2712000,82
83,Vonteego Cummings,2000,2600000,83
84,David Wesley,2000,2520000,84
85,Dean Garrett,2000,2520000,84
86,Antawn Jamison,2000,2503000,86
87,Walter McCarty,2000,2500000,87
88,Anthony Peeler,2000,2495000,88
89,Lamar Odom,2000,2445000,89
90,Cedric E. Henderson,2000,2400000,90
91,Lawrence Funderburke,2000,2400000,90
92,Lindsey Hunter,2000,2350000,92
93,Malik Rose,2000,2285000,93
94,Vince Carter,2000,2267000,94
95,Jonathan Bender,2000,2214000,95
96,Dell Curry,2000,2100000,96
97,Robert Traylor,2000,2059000,97
98,Othella Harrington,2000,2025000,98
99,Wally Szczerbiak,2000,2011000,99
100,Terry Porter,2000,2000000,102
101,Rodney Rogers,2000,2000000,102
102,Jamie Feick,2000,2000000,102
103,Eric Montross,2000,2000000,102
104,Chris Crawford,2000,2000000,102
105,Steve Kerr,2000,1968000,105
106,Vinny Del Negro,2000,1925000,106
107,Sean Rooks,2000,1920000,107
108,Lucious Harris,2000,1920000,107
109,Jason Williams,2000,1879000,109
110,Richard Hamilton,2000,1836000,110
111,Larry Hughes,2000,1722000,111
112,Andre Miller,2000,1682000,112
113,Dirk Nowitzki,2000,1583000,113
114,Shawn Marion,2000,1546000,114
115,Paul Pierce,2000,1503000,115
116,Jason Terry,2000,1468000,116
117,Bonzi Wells,2000,1428000,117
118,Trajan Langdon,2000,1394000,118
119,Aleksandar Radojevic,2000,1325000,119
120,Keon Clark,2000,1289000,120
121,Corey Maggette,2000,1259000,121
122,Michael Dickerson,2000,1224000,122
123,Will Avery,2000,1196000,123
124,Matt Harpring,2000,1163000,124
125,Eldridge Recasner,2000,1100000,125
126,Metta World Peace,2000,1079000,126
127,Rasho Nesterovic,2000,1050000,127
128,Cal Bowdler,2000,1025000,128
129,James Posey,2000,974000,129
130,Pat Garrity,2000,952000,130
131,Quincy Lewis,2000,930000,131
132,Roshown McLeod,2000,914000,132
133,Dion Glover,2000,893000,133
134,Ricky Davis,2000,878000,134
135,Greg Foster,2000,857000,135
136,Jeff Foster,2000,857000,135
137,Brian Skinner,2000,843000,137
138,Kenny Thomas,2000,823000,138
139,Devean George,2000,790000,139
140,Al Harrington,2000,745000,140
141,Tim James,2000,728000,141
142,Jumaine Jones,2000,684000,142
143,Scott Padgett,2000,679000,143
144,Rafer Alston,2000,301000,144
145,Hakeem Olajuwon,2000,NA,145
146,David Robinson,2000,NA,146
147,Dikembe Mutombo,2000,NA,147
148,Patrick Ewing,2000,NA,148
149,Jayson Williams,2000,NA,149
150,Tim Hardaway,2000,NA,150
151,Chris Webber,2000,NA,151
152,Arvydas Sabonis,2000,NA,152
153,John Stockton,2000,NA,153
154,Reggie Miller,2000,NA,154
155,Zydrunas Ilgauskas,2000,NA,155
156,Kobe Bryant,2000,NA,156
157,Shareef Abdur-Rahim,2000,NA,157
158,Vin Baker,2000,NA,158
159,Allen Iverson,2000,NA,159
160,Anfernee Hardaway,2000,NA,160
161,Latrell Sprewell,2000,NA,161
162,Mitch Richmond,2000,NA,162
163,Rod Strickland,2000,NA,163
164,Jalen Rose,2000,NA,164
165,Grant Hill,2000,NA,165
166,Tracy McGrady,2000,NA,166
167,Tim Duncan,2000,NA,167
168,Keith Van Horn,2000,NA,168
169,Allan Houston,2000,NA,169
