,,,,,,,,,,,,,,,,,,,,,,,,,
,k,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,1,San Antonio Spurs,23,241.1,39.7,80.9,0.491,8.8,21.6,0.409,30.9,59.3,0.521,18.0,23.5,0.767,9.4,32.6,42.0,22.2,8.1,3.5,12.6,19.8,106.3
,2,Oklahoma City Thunder,19,246.6,36.6,81.4,0.450,7.5,23.3,0.323,29.1,58.1,0.500,21.8,26.6,0.820,11.2,34.1,45.2,19.3,6.3,6.2,15.1,23.0,102.5
,3,Miami Heat,20,240.0,35.4,72.2,0.491,9.3,23.5,0.396,26.1,48.7,0.536,17.2,22.0,0.780,6.0,28.1,34.0,18.3,7.4,3.9,12.2,20.7,97.3
,4,Indiana Pacers,19,240.0,33.6,74.5,0.451,7.3,19.3,0.380,26.3,55.3,0.476,17.0,23.4,0.727,8.2,31.3,39.5,18.8,7.1,4.2,13.6,20.7,91.6
,5,Los Angeles Clippers,13,240.0,39.4,85.4,0.461,9.2,25.8,0.355,30.2,59.6,0.507,20.8,28.5,0.730,11.4,28.4,39.8,23.8,9.4,4.4,12.6,24.3,108.8
,6,Portland Trail Blazers,11,246.8,38.4,87.7,0.437,7.9,22.8,0.347,30.5,64.9,0.469,19.6,24.6,0.797,11.7,32.5,44.2,17.5,5.9,6.0,13.8,22.5,104.3
,7,Brooklyn Nets,12,240.0,34.8,75.1,0.463,7.8,22.7,0.342,27.0,52.4,0.515,18.3,24.8,0.737,10.0,27.8,37.8,18.3,6.9,2.8,12.3,22.3,95.5
,8,Washington Wizards,11,242.3,34.5,79.7,0.432,5.6,16.8,0.335,28.8,62.9,0.458,15.8,22.7,0.696,11.7,33.2,44.9,19.5,7.5,5.6,12.8,22.3,90.4
,9,Golden State Warriors,7,240.0,38.3,83.1,0.460,9.6,26.3,0.364,28.7,56.9,0.505,20.3,27.9,0.728,13.1,29.6,42.7,24.4,7.0,4.6,17.3,25.3,106.4
,10,Dallas Mavericks,7,240.0,39.1,86.7,0.451,8.4,22.4,0.376,30.7,64.3,0.478,14.4,18.9,0.765,11.7,29.0,40.7,19.1,6.6,4.1,11.4,20.3,101.1
,11,Memphis Grizzlies,7,254.3,36.7,88.1,0.417,4.4,15.3,0.290,32.3,72.9,0.443,18.9,25.9,0.729,12.9,29.9,42.7,21.7,9.0,2.4,11.1,20.9,96.7
,12,Toronto Raptors,7,240.0,32.7,74.1,0.441,6.6,21.0,0.313,26.1,53.1,0.492,24.1,29.0,0.833,10.1,31.6,41.7,17.7,5.6,3.0,15.3,25.9,96.1
,13,Houston Rockets,6,252.5,40.8,91.7,0.445,8.2,25.7,0.318,32.7,66.0,0.495,22.2,29.8,0.743,16.7,32.5,49.2,18.3,6.0,5.0,13.8,26.0,112.0
,14,Atlanta Hawks,7,240.0,30.3,78.7,0.385,11.3,32.9,0.343,19.0,45.9,0.414,20.6,24.9,0.828,9.1,30.1,39.3,16.9,6.6,4.6,13.6,20.9,92.4
,15,Chicago Bulls,5,245.0,33.2,78.6,0.422,6.4,19.2,0.333,26.8,59.4,0.451,17.2,22.8,0.754,12.2,29.6,41.8,20.2,5.0,4.4,13.2,22.0,90.0
,16,Charlotte Hornets,4,240.0,33.8,75.3,0.449,7.8,21.3,0.365,26.0,54.0,0.481,16.8,23.5,0.713,8.3,31.5,39.8,19.8,4.3,4.5,15.0,20.3,92.0
,,League Average,11,242.5,36.4,80.0,0.455,8.0,22.3,0.358,28.3,57.6,0.492,18.8,24.7,0.763,10.2,30.9,41.1,19.8,7.1,4.4,13.3,22.0,99.5
