,,,,,,,,,,,,,,,,,,,,,,,,,
,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,1,Golden State Warriors,21,243.6,38.2,84.2,0.453,11.4,30.5,0.374,26.8,53.7,0.498,15.5,22.1,0.699,11.6,34.0,45.6,24.5,8.0,5.8,14.6,22.4,103.3
,2,Cleveland Cavaliers,20,243.8,34.7,82.7,0.420,9.8,28.7,0.340,25.0,54.0,0.462,19.9,26.9,0.738,12.3,34.9,47.1,18.0,6.3,6.4,13.0,20.9,99.0
,3,Houston Rockets,17,240.0,37.4,83.4,0.448,9.5,27.5,0.344,27.9,55.8,0.499,24.0,36.7,0.654,10.9,34.8,45.7,21.9,8.4,5.5,15.5,23.4,108.2
,4,Atlanta Hawks,16,243.1,36.9,85.6,0.431,9.1,28.6,0.317,27.8,56.9,0.488,15.2,19.4,0.781,9.8,33.9,43.7,23.8,8.5,4.9,12.7,19.7,98.0
,5,Los Angeles Clippers,14,241.8,39.5,84.8,0.466,8.4,25.4,0.329,31.1,59.4,0.525,20.4,30.6,0.667,9.6,35.0,44.6,22.5,8.6,5.9,13.1,24.8,107.8
,6,Chicago Bulls,12,244.2,35.1,83.8,0.419,9.2,24.6,0.373,25.9,59.2,0.438,16.7,21.5,0.775,11.7,33.8,45.4,22.2,7.2,6.6,14.0,18.8,96.0
,7,Memphis Grizzlies,11,240.0,35.7,84.1,0.425,4.4,14.0,0.312,31.4,70.1,0.447,18.9,22.7,0.832,10.5,32.9,43.5,20.4,8.6,4.1,11.0,19.4,94.7
,8,Washington Wizards,10,242.5,37.3,84.5,0.441,9.4,23.3,0.403,27.9,61.2,0.456,17.1,23.7,0.722,11.6,35.6,47.2,23.1,7.1,5.3,14.5,20.0,101.1
,9,San Antonio Spurs,7,243.6,38.3,85.3,0.449,9.6,26.1,0.366,28.7,59.1,0.486,17.3,25.4,0.680,11.7,34.7,46.4,24.1,6.1,4.7,12.1,24.9,103.4
,10,Brooklyn Nets,6,244.2,36.2,83.2,0.435,8.5,24.0,0.354,27.7,59.2,0.468,15.5,20.8,0.744,9.5,35.0,44.5,21.7,7.5,3.3,14.3,19.0,96.3
,11,Dallas Mavericks,5,240.0,41.6,92.0,0.452,7.6,24.4,0.311,34.0,67.6,0.503,19.2,25.2,0.762,13.6,33.8,47.4,21.2,7.0,4.6,14.2,27.2,110.0
,12,Milwaukee Bucks,6,248.3,34.2,88.2,0.388,5.5,18.2,0.303,28.7,70.0,0.410,14.7,20.8,0.704,12.2,31.5,43.7,20.3,10.8,6.7,13.2,21.2,88.5
,13,Portland Trail Blazers,5,240.0,33.4,83.6,0.400,9.2,26.2,0.351,24.2,57.4,0.422,17.8,21.6,0.824,10.0,34.2,44.2,16.6,3.4,5.2,11.6,20.6,93.8
,14,New Orleans Pelicans,4,246.3,38.0,84.3,0.451,6.8,21.3,0.318,31.3,63.0,0.496,18.0,22.3,0.809,10.8,31.3,42.0,23.3,7.5,5.8,13.5,23.8,100.8
,15,Toronto Raptors,4,246.3,36.8,88.3,0.416,7.5,25.0,0.300,29.3,63.3,0.462,15.3,21.3,0.718,8.8,29.8,38.5,19.5,7.5,2.3,12.0,25.0,96.3
,16,Boston Celtics,4,240.0,34.8,82.8,0.420,5.5,21.5,0.256,29.3,61.3,0.478,19.8,25.5,0.775,10.0,30.8,40.8,20.0,5.3,3.8,13.5,26.8,94.8
,,League Average,10,242.8,36.8,84.5,0.435,8.8,25.5,0.344,28.0,59.0,0.475,18.1,25.0,0.725,11.0,34.0,45.0,21.8,7.6,5.4,13.5,21.9,100.5
